key,author,date,stars,title,helpful_yes,helpful_no,text,taste,ingredients,texture,likes
0_hd,,2016-09-09,5,,0,0,I was very happily surprised with the flavor of the Häagen-Dazs White Chocolate Raspberry Truffle. It was delicious and creamy and sweet with a hint of tang from the raspberries. I was initially unsure of how I would feel about this as I am picky about my white chocolate but within the first bite I knew it was good. The combination of the truffles and the raspberries mixed with the white chocolate is perfect the flavors stand on their own yet work together brilliantly. I am definitely repurchasing [This review was collected as part of a promotion.],,,,
0_hd,,2016-08-25,5,,0,0,"I received a free sample of the Haagen-Dazs White Chocolate Raspberry Truffle ice cream via Crowdtap and Haagen-Dazs. I love ice cream and this flavor sounded really intriguing. I loved it! It was super rich and creamy. It felt like high class ice cream, where a little goes a long way. But at the same time, just one scoop doesn't feel like enough because it's so delicious. It was the perfect combo of chocolate and raspberries as well. I would definitely purchase again as a treat once in a while. [This review was collected as part of a promotion.]",,,,
0_hd,TX Science Teacher,2018-07-04,5,Sweet Perfection!,1,0,The White Chocolate Raspberry Truffle is delicious- just the right amount of sweetness. The raspberry swirls complement the dark chocolate bits wonderfully. This is my new favorite flavor!,5.0,5.0,5.0,
0_hd,ella660,2017-08-02,5,Life Changer,0,0,"This ice cream is truly beyond words. When I am sad, this ice cream cheers me up. When I am happy, this ice cream makes me laugh. When I am lonely, this ice cream gives me a friend. I cannot begin to explain how this ice cream has truly changed my outcome on life. I buy 65 cartons every month because I love it so much, it has even become apart of my main diet. This ice cream has helped me lose so much weight and changed who I am as a person. Thank you Haagen-Dazs, you are the real MVP.",5.0,5.0,5.0,
0_hd,,2016-09-24,5,,0,0,"This ice cream was delicious! I wish it came in a bigger sized container. The white chocolate ice cream was creamy and easy to scoop out of the container. There were raspberry swirls that tasted just like the raspberry sauce I make at home. My favorite part, though, were the fudge truffles. They were decadent and the perfect compliment to the other flavors. I'll definitely be seeking out this ice cream again. It was full of rich flavors and was so creamy and smooth - delicious! [This review was collected as part of a promotion.]",,,,
0_hd,Anne123,2018-06-06,5,The absolute best!!,1,0,Haagen daz makes the best ice cream and this is the best of the best. I search all over for it. It is amazing!!!! I am going to go buy some now!,5.0,5.0,5.0,
0_hd,,2016-08-27,5,,0,0,"Häagen-Dazs White Chocolate Raspberry Truffle is rich creamy and irresistibly delicious. I love the the chocolate truffle pieces, the raspberry swirl gives it just the right amount of flavor. This a great treat to reward yourself for doing just about anything. I would definitely recommend this everyone that loves ice cream. I got to sample this product for free from Häagen-Dazs through Crowdtap and the opinions stated are that of my own experience with this flavor. [This review was collected as part of a promotion.]",,,,
0_hd,,2016-09-19,5,,0,0,"I was provided a free sample Haagen-Dazs White Chocolate Raspberry Truffle Ice Cream in exchange for honest feedback and reviews. I absolutely loved this flavor. This particular flavor has an amazing blend going on. Tangy and rich raspberry swirl in a white chocolate ice cream base littered with truffles. I felt like I was getting a sneak peak inside a five start restaurant. Wow! I highly recommend this flavor, especially if you like rich and indulgent ingredients. [This review was collected as part of a promotion.]",,,,
0_hd,brsw_1,2018-08-04,5,Bigger Sizes...PLEASE!,1,0,"INCREDIBLE! Decadent flavors, great textures and oh so sinfully flavorful...",5.0,5.0,5.0,
0_hd,,2016-08-27,5,,0,0,"Haagen-Dazs, once you try it, you will never see any other ice-cream the same. It is flavorful, creamy and rich. Highly addictive and forever loved. This one has raspberry swirls (that tastes tart but in a refreshing way) with the white chocolate cream and chocolate chunks. Perfect combination. It makes me want to eat the entire thing but I want to save it for another rewarding day/night.",,,,
0_hd,,2016-09-01,4,,0,0,"I really enjoyed this icecream. The texture was very creamy and smooth, while the chocolate chips in it were sweet and crunchy. The raspberry is VERY strong, which can be both good and bad. I'm not a huge raspberry fan, but I still enjoyed this in moderation. My fiance likes raspberries, and he wanted to eat the entire container in a single sitting, ha. Over all though, this was a very tasty ice cream and I definitely want to try out the other flavors offered.! [This review was collected as part of a promotion.]",,,,
0_hd,,2016-09-19,5,,0,0,"Häagen-Dazs White Chocolate Raspberry Truffle is a delicious, well balanced combination of quality flavors. It had the perfect creamyness, the berries were deliciously tart, and the truffles worked well with the other flavors. This ice cream is a perfect way to enjoy a break in the afternoon or reward myself for surviving the week.",,,,
0_hd,,2016-09-15,5,,0,0,"First I should start that my favorite brand of Ice Cream is Häagen-Dazs. This brand reminds me gelato from Germany. Usually, I don’t like chocolate varieties of ice cream, however, I was in love with this white chocolate one!!!",,,,
0_hd,jamie,2017-03-09,5,Delights the tastebuds! Amazing!,0,0,"White Chocolate Raspberry Truffle is one of the top 5 flavors Haagen-Dazs makes! The white chocolate ice cream flavor is uniquely wonderful, mixed with a fresh and sweet-tart raspberry coulis along with soft, richly dark chocolate truffles blended throughout. It's addictive and so flavorful that it's hard to find anything else that comparatively tastes as delicious. If you love the flavors in the name, you will discover a new addictive favorite!",5.0,5.0,5.0,
0_hd,,2016-08-25,4,,0,0,I really liked the sweetness of Haagen-Dazs White Chocolate Raspberry Truffle. The raspberry swirl was sweet and well balanced though I would have liked a bit more. In the beginning I didn't get that much of the truffle bits but as I ate more and got deeper into the ice cream I found the yummy bits and it was really delicious. I would have liked it if there had been some white chocolate bits as well but overall this was a really yummy treat. [This review was collected as part of a promotion.],,,,
0_hd,Ace123,2017-01-17,5,Best ice cream flavor in the world ever!!,0,0,"I am addicted to this. I go searching from store to store and usually buy them out! It is a great combo of flavor, the white chocolate ice cream, the raspberry and the high quality chocolate truffles. My friends have cursed me for introducing them. I love many of the Haagen Dazs flavors but this is literally the world's best. Try it you won't be disappointed! This is my first review of a product ever. It is that compelling.",5.0,5.0,5.0,
0_hd,NateK,2020-04-02,5,The Best Ice Cream I've Ever Had Period!!!,0,0,"It's the single greatest ice cream I have ever eaten. Been eating it for the past 4 years and the white chocolate ice is perfect , the raspberry swirl (I dislike raspberry most of the time) is a divine taste of perfect tartness and fruit, the truffle chocolate pieces are simply so spectacularly chewy and melt in your mouth delicousness. I always compare every other ice cream I try to this flavor, yet none of them compare in the slightest! This ice cream gets me through a tough week at work or a depressed day in life. I don't know that I can say that about any other dessert that I eat. I never ever write reviews for any product but after 4 years I couldn't help but write how perfect an ice cream can be and become. Please Haggen Dazs never change this reciepe or ingediants , sincerely a fan for life! Ps please consider making this in the 28oz size if you don't mind :)",5.0,5.0,5.0,"Perfectly Balanced Flavor,Interesting Flavor,High Quality Ingredients,Indulgent,Creamy Texture,Simply Rewarding"
0_hd,,2016-08-25,5,,0,0,"I love fruit and chocolate combinations, but I feel like they often taste gritty. I was really happy with how smooth the texture of the ice cream and the fruit swirls were. And the chocolate was really good quality, too. The ration of chocolate to fruit to ice cream was perfect, too. I'll be stocking this one regularly from now on; I'd rather have occasional amazing ice cream like this than a store brand all the time. [This review was collected as part of a promotion.]",,,,
0_hd,,2016-09-09,5,,0,0,"I love ice cream and Haagen-Dazs is one of my favorite brands. I really enjoyed White Chocolate Raspberry Truffle flavor. It's so delicious! The texture is really creamy and soft. You can really taste white chocolate, raspberry and truffle. Such a great combination! The ice cream is very tasty and I would recommend giving this flavor a try. I received a free sample as a member of the Häagen-Dazs crowd on Crowdtap. [This review was collected as part of a promotion.]",,,,
0_hd,,2016-09-04,5,,0,0,"My review of the White Chocolate Raspberry Truffle flavor ice cream is nothing short of positive. The sweet blend of chocolate with the tart taste of raspberry offers a succulent combination of tastes that I love. The consistency was very creamy without being overwhelming. After trying this flavor, I cannot wait to head back out to the grocery store and sample the other new options that Haagen Daas has released. [This review was collected as part of a promotion.]",,,,
0_hd,Joseph Jojo Romanoff,2020-01-21,4,This is my favorite flavor however,1,1,I'm very saddened I can only find this ice cream in 14 ounces. They should sell them in bigger sizes. I wish Haagen-Dazs would send me a month supply of this ice cream because it is amazing and they should do other flavors involving white chocolate ice cream.,5.0,5.0,5.0,
0_hd,,2016-08-25,5,,0,0,I have never had Haagen-Dazs before this sample. I chose the White chocolate raspberry truffle and I have never had an ice cream this good before. This ice cream is blended so perfectly and tastes like heaven. I love how you get the dark truffles and the sweet raspberry complements one another and how the white chocolate creates the perfect base for any flavor. This really is the best ice cream that I have had. [This review was collected as part of a promotion.],,,,
0_hd,,2016-09-14,5,,0,0,"Holy yum! This is a delicious ice cream - sweet, creamy, indulgent. Haagen Dazs has one of the creamiest ice cream products I've ever tasted. I love the sweetness of the chocolate, with the light fruity notes throughout. I do have quite the sweet tooth, and this ice cream did not disappoint. It was rich, yes, and that's the way I love my ice cream. I would definitely recommend this flavor to friends and family. [This review was collected as part of a promotion.]",,,,
0_hd,lucy427,2019-02-23,3,Used to be one of my favorite ice creams,1,1,"I used to eat this all the time, but I think they changed the chocolates/truffle bits to something cheaper. It doesn’t taste as good and it leaves behind an unappealing bright orange color. I still like it, but it used to be better.",4.0,3.0,5.0,
0_hd,,2016-09-18,5,,0,0,I thought the Haagen-Dazs White Chocolate Raspberry Truffle was very good. You could tell that Haagen-Dazs makes their ice cream from the highest quality of ingredients & the flavor was outstanding. I especially loved the raspberry swirl & pieces of chocolate truffle! I would definitely purchase this ice cream again & recommend it to all of the ice cream lovers out there. It is my new favorite! [This review was collected as part of a promotion.],,,,
0_hd,,2016-09-19,5,,0,0,"I liked it for the fact that it tasted exactly like it was advertised. Haagen Dazs always promises high quality products with great depths of flavors. White Chocolate Raspberry Truffle was no different. I could taste every aspect and component of the ice cream. The flavor was a bit too risqué for a plain jane ice cream lover like myself, but it was a nice treat to indulge in. I'm glad I tired it. [This review was collected as part of a promotion.]",,,,
0_hd,,2016-08-27,5,,0,0,"I received a free sample as a member of the Häagen-Dazs crowd on Crowdtap, and this is one of the best, most delicious, smooth, creamy ice creams I've ever tasted. Haagen-Dazs is known for great quality so I expected nothing less in this sampling and was not let down. Its best if you let it melt just a little and then indulge. The flavors are very distinct and the raspberry truffle is to die for. [This review was collected as part of a promotion.]",,,,
0_hd,,2016-08-25,5,,0,0,I received a free sample as a member of the Häagen-Dazs crowd on #Crowdtap.,,,,
0_hd,Nine Oh Nine,2017-01-02,5,Most Luxurious Flavor Ever,0,0,"Like many people, I looked down upon white chocolate, associating it with the waxy, sugary baking morsels that I grew up eating. But this ice cream changed everything. The white chocolate ice cream is rich, creamy and buttery and very easily distinguishable from vanilla. The raspberry swirl brings a much-needed tartness, and the chocolate truffles are super decadent. One of your best flavors.",5.0,5.0,5.0,
0_hd,,2016-08-25,5,,0,0,Omg how soft and decadent was this ice cream!!!! Truly a treat in the since of the way. Every bite is a creamy yummy raspberry taste and as your eatting you get a suprise nugget of rich chocolate. I dont eat ice cream often as to watch my weight but on days i have been a good girl this is definitely fitting the bill for a reward. Do your self a favor try this flavor!!!!! [This review was collected as part of a promotion.],,,,
0_hd,cheesypoof,2020-06-12,5,Simply the best ice cream I've ever tasted.,0,0,"This is the perfect ice cream for anyone that likes clarity of flavour instead of the muddling of many tastes. I've tried a lot of ice cream in my life, and this is the closest thing to perfection for me. I'm deeply disappointed it isn't available in Asia, and miss it fondly. Haagen Dazs should do to promote this as its their best ice cream, bar none, by a country mile.",5.0,5.0,5.0,"Perfectly Balanced Flavor,Interesting Flavor,High Quality Ingredients,Indulgent"
0_hd,SocialButterfly,2020-04-22,5,My holy grail,0,0,"If ice creams were like fashion, this would be the pinnacle of haute couture. Far & away my favorite flavor. It seems to go out of stock during fall & winter ... so during warmer months, I stock my chest freezer with dozens of pints to help me through the lean months. I'm not kidding ... I literally bought 36 _extra_ pints last year to make it through this past winter.",5.0,5.0,5.0,"High Quality Ingredients,Indulgent,Creamy Texture"
0_hd,whitechocraspluver,2017-01-20,5,BEST FLAVOR EVER,0,0,My favorite flavor ever I am addicted I love this flavor ok I WISH it had more raspberry swirl but other than that its AMAZING my favorite flavor of ice cream ever I wish they sold it in bigger packages cause I go through it so fast this is my favorite icecream and food in general I love it so much I cant even describe how good it tastes I love the truffle chunks,5.0,5.0,5.0,
0_hd,elizabeth2019,2019-10-20,4,Too bad...,0,0,I didn't read the ingredients carefully because when did Haagen Dazs start to put corn syrup in their ice cream? I'm allergic to corn as are many others and plain old sugar works for me. This flavour was delicious I have to say - but with that ingredient I won't be buying any more of this company's products and that makes me sad as I really used to enjoy them.,5.0,2.0,4.0,Perfectly Balanced Flavor
0_hd,,2016-09-14,5,,0,0,Chocolate and raspberry is one of my favorite flavor combos and Häagen-Dazs White Chocolate Raspberry Truffle did not disappoint! It was a nice creamy texture with a sweet/tart raspberry flavor mixed with the perfect truffles that just melt in your mouth! If i could change just one thing it would be to add a little bit of chocolate fudge swirls mixed in as well! [This review was collected as part of a promotion.],,,,
0_hd,,2016-08-27,5,,0,0,I really liked the Haagen-Dazs White Chocolate Raspberry truffle ice cream. It had a lot of flavor to it. The raspberry was very strong and fresh tasting. The ice cream was smooth and had nice size chucks of chocolate chips in it as well. It is becoming my new favorite ice cream. I received this product free for testing and all options are my own. [This review was collected as part of a promotion.],,,,
0_hd,,2016-08-25,5,,0,0,"Häagen-Dazs White Chocolate Raspberry Truffle is delicious. It has the perfect balance of flavors. The truffles are rich and chocolaty but do not overwhelm the other flavors. The white chocolate ice cream is smooth and creamy with tangy raspberry swirls throughout. If you like the combination of raspberry and chocolate, you will love this flavor. [This review was collected as part of a promotion.]",,,,
0_hd,SymonaLisa,2019-02-14,5,Yummmmm,0,0,"Before this flavor, I only ate ice cream like once in a blue moon. I purchased this flavor wanting to try it since it consisted the same ingredients of a cheesecake I love (from a certain Factory), ........and I have to say I LOVE THIS MORE than the cheesecake. This is my new Guilty pleasure. I went back and purchased more, now keep it in stock.",5.0,5.0,5.0,Perfectly Balanced Flavor
0_hd,,2016-08-27,5,,0,0,"White Chocolate Raspberry Truffle is so creamy and delicious. The flavor is one of those that make you close your eyes and savor every bit of it. It is the perfect end of the day treat, and it is definitely an ice cream that is seems more adult and indulgent. It is possibly one of the best flavors I have ever had when it comes to ice cream! [This review was collected as part of a promotion.]",,,,
0_hd,Ana Marie,2017-03-02,5,the most delicious flavor i have ever tasted,0,0,"when i saw this in the store one day , it was labeled NEW flavor so i tried it; i have become addicted to it and i spend hours looking for it store to store cause is sold out ; my friends thought i was crazy when i described it but when they tried they were amazed ! words cannot describe the actual taste! you have to try it",5.0,5.0,5.0,
0_hd,,2016-09-29,5,,0,0,"I was finally able to find this at a store way out of my area, I love the great taste of the raspberries as if they were fresh right in front of me and the chocolaty smooth taste of the white chocolate its the perfect blend to make anyone happy, perfect for the moments you want to relax and take a few moments for yourself. [This review was collected as part of a promotion.]",,,,
0_hd,ggmb220,2020-07-22,5,My dream ice cream,0,0,"White chocolate ice cream isn’t over the top. It’s like the best vanilla ice cream you’ve ever had. The raspberry swirls are delicious. They make the ice cream. Thick, and fruity and plentiful. The chocolate pieces are a nice touch but it could do with less. The ice cream and swirl is enough to stand on it’s own. Amazing.",5.0,5.0,4.0,"Perfectly Balanced Flavor,Interesting Flavor,Indulgent,Creamy Texture"
0_hd,,2016-09-11,5,,0,0,"I genuinly thought this flavor was absolutely amazing. I love chocolate and fruit combinations, so I knew that this flavor was for me! I have never had a white chocolate ice cream before, and this was surprisingly delicious. I thought it would be too sweet, but it was perfet. The ribbon of raspberry swirl throughout the ice cream was a perfect compliment to the base. I thought it cut through the ice cream nicely. The truffles completed this frozen perfection. They were not chewy or hard, which I find some chocolate in ice cream to be, but smooth and melty. There three flavors combine to make the perfect ice cream. Creamy and luscious does not even begin to describe the consistency of this ice cream. It was like a dream! This has to be one of my favorite ice creams, EVER. I have bought it several more times. I also have to say that I appreciate the quality that Haagen-Dazs puts into their ice cream, with natural, whole ingredients and premium quality. Awesome product. [This review was collected as part of a promotion.]",,,,
0_hd,Icecream Enthusiast,2017-05-24,5,BEST ICECREAM EVER,0,0,"This is the best icecream I have ever had in my life. Please stock more in stores, and please advertise to every one because whomever hasn't tried it has never experienced true happiness. I promise you Haagen-Dazs that if you stock 20 in a store, I will buy 20. Please stock more because they always seem to run out.",5.0,5.0,5.0,
0_hd,,2016-08-25,4,,0,0,I absolutely adored chow smooth and creamy this ice cream was and I loved the white chocolate flavor of the ice cream it was noticeable but not over powering and it went so well with the raspberry ripple!!!! I would probably have preferred white chocolate chunks instead of the dark chocolate chunks that were in it. [This review was collected as part of a promotion.],,,,
0_hd,,2016-09-18,4,,0,0,"The ice cream was super creamy and rich. I loved how strong the raspberry flavor was yet it wasn't overpowering. The amount of chocolate truffles were perfect, though a bit hard if you bit into it instead of allowing it to melt in your mouth. This ice cream was wonderful and I would definitely purchase again. [This review was collected as part of a promotion.]",,,,
0_hd,jkcardin911,2017-02-13,5,My Favorite Flavor,0,0,"I became addicted to this flavor while living in the Pacific North West. We moved to the South and it's so hard to find! I love it so much, I've requested it at a few local stores. No luck yet but I'm hopeful I'll see it on a shelf soon and finally be able to enjoy this little piece of heaven once again!",5.0,5.0,5.0,
0_hd,denaLOVE,2019-08-17,5,Probably my favorite Ice Cream of ALL TIME,0,0,"You just cannot go wrong. The first time I tried this, it made all other ice creams just seem foolish. The raspberry just compliments the truffle so well, and I love how thick the chunks of chocolate are! YOU WILL NEVER REGRET THIS FLAVOR AND I DON'T NORMALLY BUY EXPENSIVE ICE CREAM, BUT ITS WORTH IT!!!!",5.0,5.0,5.0,"Perfectly Balanced Flavor,Interesting Flavor,High Quality Ingredients,Simply Rewarding"
0_hd,Annalee3377,2019-07-26,5,Hands Down My Favorite Ice Cream,0,0,"Every part of this ice cream, from the white chocolate to the raspberry swirls and the chocolate truffles will leave you in Heaven!! I love this ice cream so much and would kindly ask if this flavor can be made in bigger sizes like the Vanilla and Chocolate ones!! I must try for every ice cream lover!!",5.0,5.0,5.0,"Perfectly Balanced Flavor,Interesting Flavor,High Quality Ingredients,Indulgent,Creamy Texture,Simply Rewarding"
0_hd,,2016-09-21,5,,0,0,This is one of the best ice creams I've ever had. The texture was smooth and creamy and stayed that way even after being open in the freezer for several days. The raspberry was bright and delicious. The chocolate was just the right mix of richness to bring everything together into amazing perfection. [This review was collected as part of a promotion.],,,,
0_hd,Purple125,2019-10-01,5,The BEST of the BEST!! YUM-ITY YUM!,0,0,"Look no further.... these classic ingredients will play out a tasteful experience that you will LOVE to indulge in! Hard to resist...White Chocolate Raspberry Truffle is loaded with an explosion of flavor in every bite! Decadent,
fresh & flavorful, it has been my favorite for years.Yum-ity YUM!",5.0,5.0,5.0,"Perfectly Balanced Flavor,High Quality Ingredients,Indulgent"
0_hd,,2016-08-29,5,,0,0,I was able to try Haagen-Dazs in the White Chocolate Raspberry Flavor. This flavor is exactly what I crave when I eat ice cream. I like the sweetness of the white chocolate paired with the tartness of raspberry ribbons throughout. I also like the chunks of truffle. This flavor is so delicious! [This review was collected as part of a promotion.],,,,
0_hd,,2016-08-29,5,,0,0,"Oh my goodness this was so much better than I expected it would be! It was a perfect balance of sweetness, tartness and luscious chocolate! I kept having to stop myself from eating the entire container in one sitting just so I'd have some to nibble on the next evening. Get some NOW!! [This review was collected as part of a promotion.]",,,,
0_hd,,2016-09-22,4,,0,0,"The taste is great. I love the the creaminess of the ice cream, mixed with the hardness of the chocolate and sweetness of the raspberry. I think it's a nice change from plain ice cream, and a satisfying amount of flavor. The only issue I have with it is the high fat content. [This review was collected as part of a promotion.]",,,,
0_hd,,2016-09-17,5,,0,0,"THE best ice cream. The white chocolate ice cream tasted great, the raspberry swirls tasted like real raspberry, and the chocolate pieces were soft and very ""melt in your mouth"" (unlike most ice creams, where the chocolate is hard and waxy). I can't wait to try more flavors! [This review was collected as part of a promotion.]",,,,
0_hd,ChocolateRasberryIcecream,2019-01-28,5,A bit of heaven in 14 oz!!!!!!,0,0,"I used to buy this ice cream all the time at CVS, but they don’t carry anymore I guess because I never seem to find. I have also searched for it at Walmart with no success! I finally found it in Krogers stores!!!! I am ecstatic!!! BEST HAAGEN-DAZS ICE CREAM EVER!!!!!!!!!",5.0,5.0,5.0,"Perfectly Balanced Flavor,Interesting Flavor,Indulgent,Simply Rewarding"
0_hd,elliebelliecrazychic,2019-01-16,5,Fueled my ice cream addiction,0,0,"No joke, this is the epiphany of all ice creams. Your mouth with burst with a truly unbeatable flavor that you can find in any other ice cream. The chocolate chunks are fantastic as well. It is because of this ice cream that I consider myself to be an addict to this day.",5.0,5.0,5.0,
0_hd,,2016-08-25,5,,0,0,"If you are looking for a grown up ice cream sundae this is the perfect rendition. Think sweet, creamy and tart with chocolate chunks- none of the cloying sweetness or unrefined flavors. Perfect combination for a reward and easy to enjoy alone or dress up for a dessert. [This review was collected as part of a promotion.]",,,,
0_hd,,2016-09-07,5,,0,0,"This is one of the best, most decadent ice creams i have ever had. The white chocolate and fruit flavors are perfectly blended and the chunks of chocolate really pushes it over the top in the best way. Just be warned that you will not want to share this with anyone. [This review was collected as part of a promotion.]",,,,
0_hd,,2016-08-25,5,,0,0,I love haagen-Dazs ice cream and this flavor didn't disappoint. The slight tartness of the raspberry complimented the sweetness of the white chocolate flavor. The only bad thing is that I had to really restrain myself from eating the whole container in one sitting! [This review was collected as part of a promotion.],,,,
0_hd,JimBob,2017-01-13,1,Not as expected,0,18,"If the label says ""white chocolat"" why would there be chunks of dark chocolat in it? I honestly thought that I was eating ersatz, because Haagen-Dazs would just not do such a thing, right?! Guess I will have to rethink my brand image. Never again at that price.",1.0,1.0,1.0,
0_hd,,2016-08-30,5,,0,0,Amazing. Simply amazing. Häagen-Dazs White Chocolate Raspberry Truffle was delightful from the first creamy bite to the last hint of sweet raspberry in my mouth. The dark chocolate bits were a nice rich contrast to the light white chocolate ice cream. [This review was collected as part of a promotion.],,,,
0_hd,,2016-09-10,5,,0,0,"I really loved the Häagen-Dazs White Chocolate Raspberry Truffle I sampled. It was delicious. Great raspberry and chocolate flavor. So fresh, creamy and delicious. My sister and mother loved it too. Thanks for the sampling! I'll be sure to buy again! [This review was collected as part of a promotion.]",,,,
0_hd,,2016-08-25,5,,0,0,"Delish! Great combo of flavors, the dark truffles were huge and packed full of rich flavor. Great smooth white chocolate ice cream swirled with raspberry. I topped it over warm pie and it was devine. Love the flavors of Häagen-Dazs, so creative. [This review was collected as part of a promotion.]",,,,
0_hd,,2016-09-06,5,,0,0,This was by far one of the best flavors of ice cream I have ever tried. It was rich and creamy and was loaded with flavor! I would suggest it to anyone and buy it over and over again. I would also tell anyone to buy it and give it a try! [This review was collected as part of a promotion.],,,,
0_hd,Ajia,2020-05-08,5,The best ice cream I have ever tasted!!!,0,0,I just tried this flavor for the first time and it is delicious!! It is definitely my new go to flavor. I just recently tried the Haagen-Dazs brand and let’s just say you have a new faithful customer. Please never get rid of this flavor!,5.0,5.0,5.0,"Perfectly Balanced Flavor,Indulgent,Simply Rewarding"
0_hd,,2016-08-25,5,,0,0,WOW! If i wasnt on my way to being a vegan this ice cream would be my fav! Super soft and delicious. Great flavor! I have extreme will power and sampled a little bit every night for 2 weeks. I will recommend to my non vegan friends. [This review was collected as part of a promotion.],,,,
0_hd,Crumpett94,2019-11-01,5,Great Flavor Ice Cream,0,0,"I am in LOVE with this ice cream, and this is the only ice cream I buy now since I first tried it out.. I'm just kind of sad that it isn't a Lactose-Free option. So I can't really enjoy this ice cream as much as I would like to.",5.0,5.0,5.0,"Perfectly Balanced Flavor,Indulgent,Creamy Texture,Simply Rewarding"
0_hd,,2016-09-14,5,,0,0,I really like the Häagen-Dazs White Chocolate Raspberry Truffle ice cream because the flavors tasted amazing together. None of the flavors overpowered each other and the quality of the ingredients made it so much more enjoyable. [This review was collected as part of a promotion.],,,,
0_hd,,2016-08-25,4,,0,0,"I really was excited to try this flavor, i love raspberry and white chocolate together. It was amazing, the texture was great. It was creamy and rich, i was satisfied with one spoonful which is what i want in my ice cream :) [This review was collected as part of a promotion.]",,,,
0_hd,Annalee77,2018-05-23,5,Fantastic Flavor!,0,0,"This is truly my favorite Ice Cream. The taste of the chocolate truffles, raspberry swirls and the white chocolate ice cream compliment each other in perfect harmony to create the best ice cream flavor I’ve ever had!",5.0,5.0,5.0,
0_hd,,2016-09-26,5,,0,0,Haagen-Dazs White Chocolate Raspberry Truffle has an amazing creamy flavor. It has an amesome ribbon of raspberry swirl and chucks of dark chocolate. The flavor combination is just right and a wonderful treat. [This review was collected as part of a promotion.],,,,
0_hd,sugakookie,2019-04-14,5,Tastes amazing,0,0,This ice cream tastes amazing and it's now one of my favorite flavors. I'm really happy I decided to try something new and pickup a flavor like this instead of the regular flavors like Strawberry or Vanilla.,5.0,5.0,5.0,"Perfectly Balanced Flavor,Interesting Flavor,High Quality Ingredients,Indulgent,Creamy Texture,Simply Rewarding"
