key,author,date,stars,title,helpful_yes,helpful_no,text
0_talenti,WhitWhat86,2017-09-25,5,Good to my soul,2.0,2.0,"I'm eating it right now, yum yum yum I let my boyfriend taste it and he thought it was a actual fruit!! Ha! Best sherbert ever yummmmm"
0_talenti,I am groot,2019-05-08,5,PREGGO WIFE NEEDS ALPHONSO MANGO...or I could die.,2.0,1.0,"No joke. It's like Talenti found the most delicious bite out of 10 mangos and stuffed it all in a frozen cup of golden sunshine. It tastes like a vacation. My wife is 7 months pregnant with our son, and is scouring every market and grocer within 50 miles for the sweet respite of Alphonso Mango. Alas, the shelves do not comply and I am left in fear as my beloved remains unsatiated and spiteful. Where can I go? Please? Pity me. She and the unborn bun will not rest until I find the source of splendor that is Alphonso Mango.
Thank you for reaching out, we are sorry to hear you are having difficulty finding this product. Please reach out to us at consumer.services@unilever.com for more information."
0_talenti,QueenMonet,2017-09-25,5,YUM,1.0,1.0,Best thing ever. I'm laying in my bed eating away! This may or may not be my third time eating some today....
0_talenti,Indikurrt,2018-07-11,2,"Too sweet, y the sugar?",4.0,2.0,"Having grown up eating tons fresh alphonso magoes in India, I can definitely say that the taste seems quite off from the real stuff. This tastes more like canned mango pulp which is sold in several stores. Real alphonso mangoes have perfect balance of sweet and tart and need nothing to enhance the taste. This had way too much sugar and very over sweet. The fact that they add lemon and sugar just does not sound right. I was expecting much more!"
0_talenti,Heena,2020-04-27,5,Taste of India,0.0,0.0,I love the taste of this sorbet. It’s remind me of my childhood where I used to eat mangoes all summer . All my memories are refreshed with the Indian mango taste in the USA . I just love it and can’t stop buying . The funniest thing is I bought all 5 pints and nothing left behind at store .
0_talenti,Sweetkat,2019-02-06,5,Mango heaven!,0.0,0.0,Hands down the most delicious Mango sorbetto I've had the pleasure of devouring. My weakness and a wonderful me so happy addiction weakness it is! Thank you Talenti. If you ever discontinue this...you can be sure I'll find you!
0_talenti,cadburns,2017-05-31,5,Absolutely the best dairy free product!,2.0,0.0,"My son is allergic to milk and we've had a hard time finding desserts that he can enjoy. Tonight we bought the mango and raspberry gelato and hands down this is the best! It is so delicious, the flavors are amazing! It is smooth and creamy. I not only found the perfect dessert for him, but me as well! Bring on more dairy free products!"
0_talenti,Sorbetto Brain,2017-06-23,3,Mango?,4.0,2.0,"I've eaten mangos from all over the carribean, US and Mexico. This has the essence of mango flavor, but the added sugar and too much carob gum really detracts from mango flavor. I really wish they had reduced the sugar, increased the tartness with more lemon or tart passion fruit or something.
This was a big miss for me, but Roman Raspberry is Awesome."
0_talenti,siennanemone,2017-09-26,5,My Favourite of All Time,5.0,2.0,"The most amazing sorbet I've ever had! I have been vegan for quite a while now and even before I was vegan, I could never find an ice cream or sorbet this good. I always wind up accidentally eating the entire pint in one sitting! So good"
0_talenti,jentle home,2020-05-14,4,Pretty good!,0.0,0.0,"mango is my favorite! i personally kinda like it, lowkey tastes like baby food but oh well :)"
0_talenti,Ktaylor,2019-03-09,5,YUMMY,0.0,0.0,This is the best flavor of vegan ice cream I have ever tasted!
0_talenti,XdomX,2017-09-25,5,Too good to be true,0.0,1.0,Wayyyy too good.. It's like a mango blew up in my mouth
0_talenti,Ss728563,2017-03-27,5,Tastes real,4.0,1.0,"The flavor is great, tastes exactly like a mango and not an artificial taste either."
0_talenti,Dave H,2016-03-08,5,Best Mango Sorbet I've Tried,2.0,0.0,"I picked this up at a local store, best mango sorbet I've tried. It really does taste like you're taking a bite out of a real mango. Highly recommended for mango fans."
0_talenti,Mandy1722,2016-04-11,5,Tastes like happiness,2.0,0.0,This tastes like happiness in a jar. The Beaty of mangos around the world. Mangoes aspire to become apart of this sorbetto.
0_talenti,MangoFan,2019-07-07,5,MAGNIFICENT MANGO!,1.0,0.0,"When I say MAGNIFICENT MANGO I mean it with every tastebud. I've tried every other brand of frozen mango fruit bars. They all pale in comparison to Talenti's Alphonso Mango Sorbetto. I live in a remote area with very few grocery stores and choices. I try to buy as much of this as I can, so the store will keep it as a product in their freezer section. Alphonso Mango Sorbetto is my favorite frozen indulgence!"
0_talenti,AnnNicole87,2018-06-15,5,My kid begs for it!,1.0,0.0,"I recently went vegan for health reasons and was having a hard time finding something sweet for an occasional treat. I found this and it is beyond delicious! My kid begs for a few spoons full after supper. It's smooth and not too sweet. I love that it has simple ingredients that I feel okay giving to my kid. I did receive this product free for testing, but will be buying again and again!"
0_talenti,Wondermoo,2019-03-10,4,Thick mango gelato!,1.0,0.0,"This mango gelato is very thick and natural-tasting. It has great flavor and doesn’t seem artificial at all. Some people might find it a bit too sweet, but it’s very yummy."
0_talenti,Vinny,2016-12-12,4,Different,2.0,1.0,It was great. I thought it was very fresh and natural. The color of the product caught my eye. It was a bit bitter though and sometimes left a bit of an aftertaste.
0_talenti,Love26,2017-05-30,5,Absolutely Amazing,1.0,0.0,I love this mango ice cream. It's so refreshing & tastes just like mango. I was pleasantly surprised! Will continue to purchase over & over!
0_talenti,Cheryl46818,2019-09-11,4,Ahmazing flavor,1.0,0.0,I love mangos so finding a frozen dessert that has the natural flavor of mangos was an out of this world find.
0_talenti,cibo123,2017-09-21,2,What happened?,2.0,2.0,"I am a big fan of Talenti and have enjoyed the Mango Sorbetto in the past but the last pint I purchase has really disappointed me. Instead of a vobrant mango flavor, it tasted dull like it was made from dried mangoes. Will continue to buy Talenti, just not the Mango Sorbetto."
0_talenti,Bunny,2016-10-05,5,Refreshingly Sweet!,1.0,0.0,This has been my personal favorite! Worth every dollar!
0_talenti,Zulutwin,2017-08-24,5,Absolutly Delicious!,0.0,0.0,I tend to not spend much money on ice cream products from the store and was not a huge fan of Sorbetto until I had talenti Alphonso Mango flavor Sorbetto. It is by far my favorite flavor by this company and may be my all time favorite flavor ever. In fact I have turned several people onto the product and make it a habit to purchase some each time I visit the grocery store. Kudos to whoever came up with this flavor because you have a lifetime fan in me!
0_talenti,Katiedid98,2017-05-06,5,Best Frozen Treat EVER,0.0,0.0,"Taking the first bite is literally like biting into a perfectly ripe, frozen mango. The slight lemon flavor gives it a pleasant twist that makes the taste explode on you tongue. The texture reminds me of a cloud and it looks as awesome as it tastes. It's literally a party for your mouth, and it's become my staple for midnight snacks. If you haven't tried this, you definitely should. Everyone deserves to taste heaven at least once."
0_talenti,Iscream,2016-08-08,1,Weird taste,3.0,7.0,"I love mangos!! Both the green and the smaller yellow ones. But sure what's with the odd flavor? Is it blended with the seed? I love sour flavors , I like sweet. ... Not sure what to call this Alphonso. Just hard to eat"
0_talenti,jackie_789,2020-10-01,5,Awesome,0.0,0.0,"Awesome taste,really nice,want to buy again.In love with the taste."
0_talenti,ColwellR01,2020-07-21,5,Mango in every spoonful!,0.0,0.0,"You eat mango flavored candy, or mango flavored sodas/drinks, and honestly I did not know what to expect. I will say this, I was shocked and thoroughly surprised that every spoonful of the Alphonso Mango sorbetto was consistent and the flavor was never fleeting. This easily became my #1 after eating other talenti ice creams for a while. I wish I could have discovered this flavor sooner!"
0_talenti,a girl,2016-09-22,1,Definitely not my favorite!,3.0,12.0,"I tried it because it looked like it would be delicious but tasted horrible. I have couldn't quite put my finger on what it tasted like. Maybe I got a bad batch since everyone else seems to like it. However, I have tried other Talenti flavors and loved them."
0_talenti,Lightning 101,2017-03-13,1,Mango???,3.0,8.0,"This is really not good. Taste more like frozen creamed corn than mango. First one I've tried that I didn't like, but this one I really don't like."
0_talenti,Pinkbarbie23,2020-02-22,5,Definitely try this!!,0.0,0.0,This is so refreshing and perfect! A great balance of tart and sweet! Pure mango flavor. It’s flavors like this that keep me running back to Talenti! If they would put the effort of anything swirled or chunked they make like the effort in getting the perfect mango balance here then Talenti would beat down any brand hands down!
0_talenti,DSychuk,2016-12-04,5,Exquisitely Marvelous Mango Sorbetto,0.0,0.0,"This amazing, mouth-watering, juicy, flavorful, astonishing, incredible, sweet, creamy, rich, smooth and delicious sorbetto is out of this world. Perfect for anytime of the year. Whether it be by the beach on a sunny day or by the crisp and crackling fire on a wintery day. This Alphonso Mango Sorbetto never lets you down."
0_talenti,silver_haired_devil,2018-06-06,5,simply amazimg,0.0,0.0,"this is by far the best mango sorbette I've ever had, I'm from the Dominican republic and this is just like eating a fresh mango off a shaded tree.(eventhough they were from the Philippines) I ate the whole ice cream in one sitting, it's so good I literally went out my way to right this review so good job Talenti"
0_talenti,Poohbear,2017-11-04,5,Go and buy this delicious treat!,0.0,0.0,"This is sooo delicious, I'm dairy free and my husband loves mango ice cream so this was perfect for both of us!!! So light, sweet and fresh - will be buying again for sure. A little pricey but you get what you pay for. Also love that there are only a few ingredients in the pint and none that I can't pronounce!"
0_talenti,henri,2020-05-05,5,mango yum <3,0.0,0.0,"if you like mango, then you might love this! i like mango ice cream from another company, but i wanted to try something different. so i bought this on a whim. this flavor is so much better and has more of the mango taste than others. if you REALLY want to taste mango, give this a go! it doesnt hurt to try. (:"
0_talenti,Katatelina,2018-05-24,5,Real Mango Explosion in my mouth,0.0,0.0,I cannot get enough of this flavor. Mangoes are a naturally very sweet fruit. The added lemon brings enough tartness to balance the sweetness. I cannot express how much I love this flavor. IT is Divine. It reminds me of the mango served with sticky rice. Everyone needs to try this. A pint of heaven
0_talenti,Voleak,2020-04-01,2,Safety issue,0.0,1.0,"Although this is a delicious product for people with allergies, this item does not include a tamper proof seal. It would provide much more price of kind knowing that no one but the purchaser has opened the product. Kids are going around contaminating food just for fun and this is a huge concern for me."
0_talenti,Bobby,2018-05-05,5,Addicting!,0.0,0.0,"Well, I can't send a picture ' cause I ate it all! This was absolutely fantastic. The creamy texture and awesome flavor made this, my first ever gelato, one that I'm going back to clean out the freezer for! With a little gin, and little ginger, and some amoretto, it made a great daquari! Thank you!"
0_talenti,Mizz,2019-08-05,5,Stuffed Mangoes in a cup!,0.0,0.0,I definitely give this Talenti Sorbet a 5++. Thus has always been my favorite treat. I cant really enjoy ice cream any longer so for the past few years this is my go to for frozen indulgence....all the flavors are great but this one in on point for try mango flavor! The Rasberry is my 2nd FAV :)
0_talenti,Smashcraft,2019-04-16,5,Addicting,0.0,0.0,"I often try not to eat the whole thing in two days but rarely prevail. This stuff is so good. The texture, the flavor, everything is perfect. I have issues with dairy and this sorbetto is so surprisingly rich and smooth, I feel like I shouldn’t be eating something so delicious."
0_talenti,Lizzie J,2017-03-05,5,The best out there,0.0,0.0,I absolutely love anything mango flavored and this is no exception. I used to go to my local gelato store in California but now that I moved to a small town I'm glad I can still get my mango fix. Truly amazing i definitely recommend especially if you are a mango lover like me.
0_talenti,smm2528,2019-04-23,5,A Gift from God!,0.0,0.0,"Alphonso Mango is my all time favorite, this stuff is the best of the best. It’s extremely light and refreshing, and essentially melts away gracefully. The flavor isn’t over powering. Sweet but not too sweet. The most perfect snack on a hot day, or any day for that matter!"
0_talenti,Brit28,2019-11-25,5,AMAZING,0.0,0.0,"I tried it one time on accident and loved it. Ive been getting it for ab two years maybe and until four months ago the store I usually go to went out of stock for good. So Ive been searching around my city for it. I believe I have a store in mind though....wish me luck.
Thanks for reaching out! We're sorry to hear you're having difficulty locating our Talenti Alphonso Mango Sorbetto! Please reach out to us at consumer.services@unilever.com, so we can assist you further. We are looking forward to your email!"
0_talenti,nadia234,2019-07-29,5,literally amazing,0.0,0.0,this is the actual best sorbet/ice cream that i have ever eaten in my entire life and honestly i ate like four pints last week alone. i really don’t know what on earth you did to it but it is just magnificent. keep it up. i have recommended it to numerous people.
0_talenti,JustMe,2020-08-08,4,Great Flavor. But......,0.0,0.0,When I first started eating the mango flavor I loved it. Was like eating the mango freshly cut. Now I feel like it doesn’t Need that Much Sugar. I would love it more if you didn’t add any to a Really small amount of sugar. Let the fruit be itself.
0_talenti,surfsuncali,2016-04-28,5,Delicious!,0.0,0.0,"This is my favorite thing Talenti makes, absolutely love it. It takes like a mango on steroids, which is great, since I love mango. Really wish they would bring it back to the stores where I live, haven't been able to find it for over a year now."
0_talenti,caroline384,2020-04-26,5,Delicious and guilt-free,0.0,0.0,"So delicious! Not only this sorbet taste naturally delicious and expensive, like its straight out of a fancy gelato shop, but the entire pint only comes out to 480 calories. Which is a relief, because its hard to put down my spoon with this one"
0_talenti,mykayla,2019-04-21,5,THE BEST THING EVER MADE,0.0,0.0,"okay this sorbet is an actual life changer, i only get it like once in two months but it’s the bomb.com, tastes like graeters mango sorbet! I definitely recommend. if i could get like a lifetime supply of this it would by highly appreciated:)"
0_talenti,DeeBee77,2020-08-05,5,Love this Sorbetto!,0.0,0.0,I just came across this Sorbetto at the Market where I shop. I picked this up because it is dairy free and Gluten free. I am so glad I did! This Sorbetto is excellent. I thought I was eating a fresh mango. Thank you for a great product!
0_talenti,Sunshine,2017-11-19,5,OMG,0.0,0.0,"OMG, I thought I was sucking on a mango! So delicious! I can't wait to taste the other flavors. Love the container. It could be reused for other things. I will continue to buy this. I would love for tanenti to make lemon and basil flavor!"
0_talenti,Nwicklund,2016-09-24,5,My favorite,0.0,0.0,This by far is the best ever made. I'm so in love. I buy one thinking I'm not going to eat it in one sitting next thing I know it's gone. I'm crying because it's to good to be true. I hope they make a bigger size I would go bananas!
0_talenti,Mellsbells,2020-05-24,5,Great flavor & texture,0.0,0.0,"I had been looking for this flavor for weeks and I finally found it today! Like everyone else said, it literally tastes like you’re eating a sweet mango and I love it. This is absolutely my fav flavor!!!! I’m obsessed with Talenti"
0_talenti,Robyn,2019-04-28,5,PHENOMENAL FLAVOR,0.0,0.0,"My boyfriend and I bought several flavors that we hadn't tried and decided to try the Mango this evening and we were blown away by the flavor!!!! Absolutely perfect and delicious, it is like eating a fresh mango!! We love it!!!!"
0_talenti,Channah,2018-06-18,5,Confession of an Alphonso Mango addict,0.0,0.0,"Absolutely the best, delicious. i confess to say I go for a spoonful and eat the whole container. You only live once so why not go for the best.
This is my favourite of all the Talenti's followed by the Roman raspberry"
0_talenti,Lyric,2017-01-02,5,Intense Mango Flavor,0.0,0.0,"I love the short list of ingredients, the mango flavor is amazing. It tastes like the most intense mango flavor you can imagine pureed into paste and frozen. Delicious and NO LACTOSE! I love that I can eat this!"
0_talenti,MangoLover,2019-02-12,5,Mango Gelato,0.0,0.0,"This is my first time trying the brand of gelato, and I am pleasantly surprised. I highly recommend buying this gelato. Very good and creamy. There isn't an artificial mango flavor, it tastes like the real thing."
0_talenti,Sariee,2017-03-26,5,Amazing!,0.0,0.0,"A must try! Its like an party in your mouth. You tell your self your going to eat only a little. By the time you realize, your 3/4 of the way through the pint. You will not regret buying this!"
0_talenti,DiogenesXIII,2020-02-28,5,Pure Mango perfection (but did the recipe change?),0.0,0.0,"The Alphonso Mango takes home the silver in the competition for my personal top three Talenti flavours. Previously my #1, it’s since been replaced by the Roman Raspberry and now sits at a close second favourite instead.
The thing is, the last time I purchased a jar of Alphonso Mango, it tasted a little bit... off? Still wonderful, of course! Just... a bit different from what I remembered. I checked the ingredients and I could swear, there used to be turmeric in it... right? Turmeric, or some similar note of Indian spice, in keeping with the theme; something that helped emphasize the richness, balance the sweetness just so, and bring out even brighter notes that added to an already amazing flavour profile, in a way that was magically both very simple yet deliciously complex...
Well, I could be completely wrong! Either way, it’s still the *absolute best* Mango out of all the many frozen fruit dessert options— Alphonso Mangoes truly live up to their title of “King of Mango” and no one does them justice like Talenti.
It’s pure, Mango perfection— and it reigns in with a perfect 5 Stars, no matter what."
0_talenti,Rachel98,2020-09-13,5,I LOVE IT,0.0,0.0,I completely love this it’s so freaking good. I eat it everyday it doesn’t make me feel like I’m eating bad. It’s also dairy free. It tastes like mangoes from heaven. It’s so good
0_talenti,April,2018-10-02,5,The BEST,0.0,0.0,"This is sooooo good I lied to my husband that it taste like the chilli mango ice pops,and its got squash and mango with the chilli flavor so he wont taste it and eat it all on me"
0_talenti,ErinL,2016-08-10,4,Incredibly smooth,0.0,0.0,This is my first time trying this flavor and I'm in love. It hard not to compare this to eating fresh ripe mangos. The non dairy part is also a plus. Overall delicious
0_talenti,Nata93,2016-04-25,5,Awesome,0.0,0.0,"I usually go for sorbet ice cream, and I would constantly see Talenti jars on social media. I was always eager to try & this happened to be my first jar. Loved it."
0_talenti,dee10216,2018-11-08,1,Can barely taste the Mango?,0.0,4.0,"This looked like it would be good, but the mix of lemon and sugar makes it taste horrible. It almost taste like you are eating the peel rather than the mango."
0_talenti,mfmora,2017-06-20,5,Best sorbetto!!!! So YUMMY!,0.0,0.0,"I love this sorbetto! I'm lactose intolerant and I really missed ice cream. When I tried this sorbetto it was like heaven! So luxury, delicious and creamy."
0_talenti,Bangpow,2018-06-22,5,Banging,0.0,0.0,I’ve tried 6 flavors so far this one is my favorite. I’ll probaly never try another brand. I have 5 more new flavors ready for testing. Much love Telenti
0_talenti,Chocolateloves,2020-08-14,5,I love it,0.0,0.0,"I’m a mango lover lol so I just had to try it out when I saw it in my local Walmart, and oh my goodness it is so delicious. I give this a 5 star rating"
0_talenti,azzie,2019-03-09,5,delish,0.0,0.0,"this is so yummy! love it!..................
I always buy this for my friends and family to enjoy! it is a great product. Love it love it love it."
0_talenti,nyla10,2019-07-24,5,Delicious taste and perfect texture,0.0,0.0,Mango is my favorite fruit and this sorbet makes this fruit even better. The taste is so refreshing and delicious. The texture is just so smooth.
0_talenti,Lauryn,2016-08-21,5,A MA ZING!,0.0,0.0,"That's really all I need to say. It tastes amazing. I believe them when they say they use so many mangos that it clogs their machine, lol."
0_talenti,Vbee,2016-08-25,5,Sweet and Satisfying,0.0,0.0,Literally mouth watering. I buy at least 2 pints a week. The Alphonso Mango Sorbetto is hands down my absolute favorite late night snack.
0_talenti,Bre11,2020-05-20,5,AMMMMAAAAZZZZZINGGGG,0.0,0.0,It was so smooth and tasted like eating fresh mangoes. Sometimes I add it with some wine or a little bit of lime juice for extra flavor.
0_talenti,divz12,2017-04-30,5,OBSESSED,0.0,1.0,I never take the time to write reviews but I love it so much!!! I missed Indian mangoes but it tastes like Im eating the actual fruit
0_talenti,annelise,2019-06-05,5,so good!!,0.0,0.0,"this flavor is my favorite. because it is diary free it never makes me feel sick, the flavor is strong and rich, and it tastes fresh"
0_talenti,Jillysteele,2016-05-02,5,AMAZING FLAVOR!,0.0,0.0,I picked this up at a local grocery store on a whim and I'm in love!!! It tastes just like your taking a bite of a fresh mango!!!!
0_talenti,domlove,2016-06-23,5,holy god,0.0,0.0,"This sorbetto is so good! It's like eating a real mango! I would add photos, but I already ate it and gave the container away."
0_talenti,Hannaht1245,2017-08-30,5,Love it,0.0,0.0,This stuff was amazing and tasted just like mangos. Let's just say I was very upset when my spoon hit the bottom of the pint.
0_talenti,laurs420,2018-09-29,5,amazing,0.0,0.0,"I would give this 10000 stars if i could!! Tastes like you’re biting into a juicy sweet mango, it’s my addiction right now"
0_talenti,Jobelle,2020-07-04,5,Too much sugar ??,0.0,0.0,Not sure why you have 52% of sugars when compared to CIA Bella sorbet Mango has only 26 % sugar no added as I can see ??
0_talenti,Adriana,2017-05-01,5,Amazing tase!,0.0,0.0,This sorbetto has an amazing taste and texture. The lemon adds a perfect and subtle taste that evens everything out.
0_talenti,Cinziax2,2019-03-09,5,Awesome!!! So good!,0.0,0.0,So great that there is a vegan range now. I can continue to eat my favorite ice cream brand. The flavour is awesome!
0_talenti,Alexxxpack,2019-12-05,5,SO AMAZING,0.0,0.0,"I myself am not a fan of mangos but this is truly so satisfying!!! I love it, definitely one of my new favs !!!"
0_talenti,anonymous,2016-03-16,5,Alphonso Mango,0.0,0.0,"the divine texture of this not to sweet, not to sour Sorbetto hooks you in a way where you want to stay hooked."
0_talenti,,2015-10-27,4,Awesome Flavor!,0.0,0.0,"I absolutely LOVE LOVE LOVE this flavor! I love sorbets and I love mango, therefore, this is perfect for me!"
0_talenti,Freddy,2017-06-30,5,Indulging my palate each time!,0.0,0.0,Cannot get enough of each and my absolutely favorite...Sea Salt Caramel! And the refreshing Alphonso Mango!
0_talenti,annabana1994,2018-09-22,5,bursting with flavor,0.0,0.0,i love this sorbetto so much.. its got a lingering mango taste that is so juicy and delicious for a snack!!
0_talenti,Wren,2016-04-27,5,The Best!,0.0,0.0,Tried this for this first time last night and could not stop eating it! Definitely my new favorite flavor.
0_talenti,Mamabear36,2016-11-18,5,Ah mazing mango!!,0.0,0.0,This is by far the best flavor. Both hunny and I agree it's like eating real mangoes and it's ah mazing!!!
0_talenti,teaneedz,2016-02-16,5,My favorite dessert!,0.0,0.0,"I tried this for the first time and am trying to ration it, because I don't want it to end. It is my fav!"
0_talenti,Indianmango,2016-08-30,5,Amazing taste of mango authentic.,0.0,0.0,"I have tastes so many mango ice creams, but this beats them all, very good taste that touches your soul."
0_talenti,Tan9168,2020-07-24,5,The best!,0.0,0.0,"This is my favorite flavor ever! It actually taste better than mango. Perfect flavor, cold and freshing."
0_talenti,Akwest29,2018-05-12,5,Best ever!!,0.0,0.0,Best thing ever invented. I’m pretty sure I’ve spent a small fortune on this. And I will continue to.
0_talenti,Bb33,2020-04-08,5,Sooo yummy!!!,0.0,0.0,I absolutely love this dairy free option!! It tastes delicious! I will definitely be buying again.
0_talenti,olivia69,2019-12-06,5,smooooth,0.0,0.0,it is soo smooth. it’s like gelato but no dairy. it’s taste just like mango and isn’t too sweet.
0_talenti,lex24,2018-08-06,5,So good!!,0.0,0.0,"This sorbetto is perfect for when you want something cold but still light, it’s my new favorite"
0_talenti,PapaPap,2019-03-09,5,It is excellent,0.0,0.0,"It’s so good you have to try it! It taste very good when you eat it, very flavorful and smooth"
0_talenti,Sarah 22,2019-11-24,2,Not a fan,0.0,0.0,I was not a fan of this flavor at all. On top of that the lid was almost impossible to unscrew
0_talenti,Obie,2019-03-09,5,So delicious,0.0,0.0,Extremely delicious product. I absolutely love the packaging and the texture of the ice cream
0_talenti,Morales2327,2017-09-27,5,Delicious,0.0,0.0,It's simply delicious so far I tried the Alphonso Mango one and the coconut onthey are good.
0_talenti,Jerseygirl 8848,2019-06-04,5,Simply Delicious,0.0,0.0,I love the pure mango flavor this has . I could seriously eat the whole container at once !
0_talenti,Snoum,2018-07-04,5,Like biting off of an actual mango,0.0,0.0,Absolutely delightful and satisfying. This is both an ice cream lover and a vegan’s dream.
0_talenti,RamenBowl,2017-03-28,4,It takes 2 to mango.,0.0,0.0,"This sorbetto is spot on. It has a true mango flavor while,still being as smooth as silk."
0_talenti,Julia,2017-08-18,5,The best sorbet ever!!!!,0.0,0.0,So good I eat some every single day. Their all great but mango is my absolute favorite
0_talenti,Mikey,2016-01-27,5,The Best Hands Down,0.0,0.0,Never found a sorbet that I enjoy so much. Definitely will recommend this to everyone.
0_talenti,Vanny91,2019-03-09,5,Amazing texture!!,0.0,0.0,This new flavor is now my absolute favorite!!! Definitely going to stock up on this.
0_talenti,Eddieicecream,2018-04-21,5,The best!!!!,0.0,0.0,"You have to get it. One of the best flavors ever!!!! Love
It love it love
It"
0_talenti,jacqueline,2019-02-27,5,SO GOOD,0.0,0.0,This sorbet is sooooo good. Not too sweet. Mango flavour is really prominent.
0_talenti,Brenda1959,2019-10-07,5,Absolutely Amazing,0.0,0.0,‘This sorbet is soo delicious! It’s my favorite dessert ever! Love love it!!
0_talenti,xman,2019-03-09,5,so good,0.0,0.0,this is one of the tastiest non dairy ice creams. great texture and flavor
0_talenti,Anna,2017-06-22,5,Love it!,0.0,0.0,The best sorbetto I ever tried! Good quality ingredients and smooth taste!
0_talenti,Purple,2019-10-14,5,Awesome,0.0,0.0,There aren't any words to describe the awesomness of the Alphonso Mango!!
0_talenti,Alli,2017-07-16,5,My new favorite!,0.0,0.0,"I've tried many other mango sorbets, and this one is definitely the best!"
0_talenti,Icecreamlover,2016-04-20,5,Simply superb!,0.0,0.0,The closest you can get to tasting the actual Alphonso mango!! THE BEST!
0_talenti,Natts1129,2019-10-14,5,Amazing,0.0,0.0,Everything I wanted and more :)))) love this gelato it’s my favorite!!!!
0_talenti,Mary125,2016-05-26,5,Great!,0.0,0.0,Feels like I'm on a tropical island. The taste is simply mouthwatering.
0_talenti,Jlope,2019-03-11,4,Beautiful,0.0,0.0,Absolutely stunning. A perfect blend and texture. Superb in every way.
0_talenti,Momof2girlz,2018-02-12,5,Fabulous,0.0,0.0,This is my first time having this and it is the best I've ever had!!!
0_talenti,Emma,2019-03-09,5,amazing taste!,0.0,0.0,Never had sorbetto with such a great mango taste! highly recommend.
0_talenti,Lilly rain,2019-07-16,5,M mm mango,0.0,0.0,This flavor is good alone or with additives or use to make smooths
0_talenti,Mango love,2019-08-24,5,Fantastic- pleasing to the palate,0.0,0.0,Flavor is incredible- just like purées mangoes. Delicious
0_talenti,Abril,2019-07-08,5,Delicious!,0.0,0.0,Taste sooo good!! Not too sweet. I love the smoothness!
0_talenti,Vivi,2019-03-09,5,Great taste,0.0,0.0,"So yummy, I love it. It’s also healthy and declicious!"
